year,ccaa,tipo,subtipo,mercancia,ton-km
2017,castilla y león,transporte internacional,expedido,minerales y residuos para refundición,3770000.0
2017,castilla y león,transporte internacional,expedido,productos metalúrgicos,86310000.0
2017,castilla y león,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,122470000.0
2017,castilla y león,transporte internacional,expedido,abonos,22010000.0
2017,castilla y león,transporte internacional,expedido,productos químicos,65470000.0
2017,castilla y león,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",1060050000.0
2017,castilla y león,transporte internacional,recibido,productos agrícolas y animales vivos,362350000.0
2017,castilla y león,transporte internacional,recibido,productos alimenticios y forrajes,267150000.0
2017,castilla y león,transporte internacional,recibido,minerales y residuos para refundición,31900000.0
2017,castilla y león,transporte internacional,recibido,productos metalúrgicos,12360000.0
2017,castilla y león,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,21430000.0
2017,castilla y león,transporte internacional,recibido,abonos,95070000.0
2017,castilla y león,transporte internacional,recibido,productos químicos,153060000.0
2017,castilla y león,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",733780000.0
2017,cataluña,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,9030000.0
2017,cataluña,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,30700000.0
2017,cataluña,transporte intrarregional,intramunicipal,productos petrolíferos,5080000.0
2017,cataluña,transporte intrarregional,intramunicipal,minerales y residuos para refundición,660000.0
2017,cataluña,transporte intrarregional,intramunicipal,productos metalúrgicos,4480000.0
2017,cataluña,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,61310000.0
2017,cataluña,transporte intrarregional,intramunicipal,abonos,2980000.0
