year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,"asturias, principado de",transporte internacional,expedido,productos químicos,millones de toneladas-kilómetro,68.23
2017,"asturias, principado de",transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,99.17
2017,"asturias, principado de",transporte internacional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,60.1
2017,"asturias, principado de",transporte internacional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,140.17
2017,"asturias, principado de",transporte internacional,recibido,productos metalúrgicos,millones de toneladas-kilómetro,55.06
2017,"asturias, principado de",transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,20.49
2017,"asturias, principado de",transporte internacional,recibido,productos químicos,millones de toneladas-kilómetro,94.03
2017,"asturias, principado de",transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,50.06
2017,cantabria,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,millones de toneladas-kilómetro,1.07
2017,cantabria,transporte intrarregional,intramunicipal,productos petrolíferos,millones de toneladas-kilómetro,0.01
2017,cantabria,transporte intrarregional,intramunicipal,minerales y residuos para refundición,millones de toneladas-kilómetro,3.53
2017,cantabria,transporte intrarregional,intramunicipal,productos metalúrgicos,millones de toneladas-kilómetro,1.0
2017,cantabria,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,2.55
2017,cantabria,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,2.47
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,millones de toneladas-kilómetro,19.34
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,millones de toneladas-kilómetro,28.67
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,millones de toneladas-kilómetro,16.78
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,millones de toneladas-kilómetro,11.42
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,millones de toneladas-kilómetro,16.87
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,116.9
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,abonos,millones de toneladas-kilómetro,0.23
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos químicos,millones de toneladas-kilómetro,17.76
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,32.51
2017,cantabria,transporte interregional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,176.01
2017,cantabria,transporte interregional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,529.64
2017,cantabria,transporte interregional,expedido,combustibles minerales sólidos,millones de toneladas-kilómetro,5.07
2017,cantabria,transporte interregional,expedido,productos petrolíferos,millones de toneladas-kilómetro,25.29
2017,cantabria,transporte interregional,expedido,minerales y residuos para refundición,millones de toneladas-kilómetro,44.73
2017,cantabria,transporte interregional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,197.31
2017,cantabria,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,152.31
2017,cantabria,transporte interregional,expedido,abonos,millones de toneladas-kilómetro,89.75
2017,cantabria,transporte interregional,expedido,productos químicos,millones de toneladas-kilómetro,241.21
2017,cantabria,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,577.12
2017,cantabria,transporte interregional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,117.25
2017,cantabria,transporte interregional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,554.46
2017,cantabria,transporte interregional,recibido,combustibles minerales sólidos,millones de toneladas-kilómetro,20.05
2017,cantabria,transporte interregional,recibido,productos petrolíferos,millones de toneladas-kilómetro,36.88
2017,cantabria,transporte interregional,recibido,minerales y residuos para refundición,millones de toneladas-kilómetro,114.32
2017,cantabria,transporte interregional,recibido,productos metalúrgicos,millones de toneladas-kilómetro,108.62
2017,cantabria,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,249.56
2017,cantabria,transporte interregional,recibido,abonos,millones de toneladas-kilómetro,8.97
2017,cantabria,transporte interregional,recibido,productos químicos,millones de toneladas-kilómetro,157.46
2017,cantabria,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,429.75
2017,cantabria,transporte internacional,expedido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,49.81
2017,cantabria,transporte internacional,expedido,productos alimenticios y forrajes,millones de toneladas-kilómetro,57.6
2017,cantabria,transporte internacional,expedido,productos metalúrgicos,millones de toneladas-kilómetro,182.57
2017,cantabria,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,109.59
2017,cantabria,transporte internacional,expedido,productos químicos,millones de toneladas-kilómetro,57.75
2017,cantabria,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,164.43
2017,cantabria,transporte internacional,recibido,productos agrícolas y animales vivos,millones de toneladas-kilómetro,74.05
2017,cantabria,transporte internacional,recibido,productos alimenticios y forrajes,millones de toneladas-kilómetro,14.05
2017,cantabria,transporte internacional,recibido,minerales y residuos para refundición,millones de toneladas-kilómetro,16.99
2017,cantabria,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,44.99
2017,cantabria,transporte internacional,recibido,productos químicos,millones de toneladas-kilómetro,54.93
2017,cantabria,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,155.4
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,millones de toneladas-kilómetro,9.63
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,millones de toneladas-kilómetro,10.36
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos petrolíferos,millones de toneladas-kilómetro,2.54
2017,castilla - la mancha,transporte intrarregional,intramunicipal,minerales y residuos para refundición,millones de toneladas-kilómetro,0.04
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos metalúrgicos,millones de toneladas-kilómetro,0.49
2017,castilla - la mancha,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,24.69
2017,castilla - la mancha,transporte intrarregional,intramunicipal,abonos,millones de toneladas-kilómetro,3.15
2017,castilla - la mancha,transporte intrarregional,intramunicipal,productos químicos,millones de toneladas-kilómetro,0.72
2017,castilla - la mancha,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,3.85
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,millones de toneladas-kilómetro,380.38
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,millones de toneladas-kilómetro,1049.62
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,millones de toneladas-kilómetro,3.86
2017,castilla - la mancha,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,millones de toneladas-kilómetro,73.79
