Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,Castilla - La Mancha,Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",373.12,294.15
2017,Castilla - La Mancha,Internacional,Recibido,Productos Agrícolas Y Animales Vivos,155.44,118.5
2017,Castilla - La Mancha,Internacional,Recibido,Productos Alimenticios Y Forrajes,339.19,262.0
2017,Castilla - La Mancha,Internacional,Recibido,Productos Metalúrgicos,27.86,13.69
2017,Castilla - La Mancha,Internacional,Recibido,Abonos,21.39,14.61
2017,Castilla - La Mancha,Internacional,Recibido,Productos Químicos,175.27,119.7
2017,Castilla - La Mancha,Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",825.89,556.89
2017,Castilla y León,Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,5.74,816.78
2017,Castilla y León,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,15.24,1830.59
2017,Castilla y León,Intrarregional,Intramunicipal,Combustibles Minerales Sólidos,0.71,174.74
2017,Castilla y León,Intrarregional,Intramunicipal,Productos Petrolíferos,3.47,243.28
2017,Castilla y León,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.27,43.55
2017,Castilla y León,Intrarregional,Intramunicipal,Productos Metalúrgicos,3.07,263.58
2017,Castilla y León,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,48.79,6992.09
2017,Castilla y León,Intrarregional,Intramunicipal,Abonos,0.87,202.25
2017,Castilla y León,Intrarregional,Intramunicipal,Productos Químicos,1.17,153.15
2017,Castilla y León,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",36.81,3327.43
2017,Castilla y León,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,945.3,12786.77
2017,Castilla y León,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,1071.31,12485.49
2017,Castilla y León,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,11.83,640.4
2017,Castilla y León,Intrarregional,Intermunicipal,Productos Petrolíferos,149.64,3186.12
2017,Castilla y León,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,19.5,281.92
2017,Castilla y León,Intrarregional,Intermunicipal,Productos Metalúrgicos,56.57,605.67
2017,Castilla y León,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,925.79,23669.81
2017,Castilla y León,Intrarregional,Intermunicipal,Abonos,79.66,1405.69
2017,Castilla y León,Intrarregional,Intermunicipal,Productos Químicos,43.61,1206.94
2017,Castilla y León,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",473.14,5409.54
