area,pais,desplazamiento,año,ton-km(millones),toneladas(miles)
UE-27,Suecia,Recibido,2024,165.0,61.0
UE-27,Suecia,Expedido,2017,835.0,299.0
UE-27,Suecia,Expedido,2018,501.0,191.0
UE-27,Suecia,Expedido,2019,654.0,242.0
UE-27,Suecia,Expedido,2020,511.0,195.0
UE-27,Suecia,Expedido,2021,1076.0,406.0
UE-27,Suecia,Expedido,2022,1003.0,383.0
UE-27,Suecia,Expedido,2023,503.0,194.0
UE-27,Suecia,Expedido,2024,855.0,328.0
Otros países declarantes,Noruega,Recibido,2017,111.0,43.0
Otros países declarantes,Noruega,Recibido,2018,85.0,28.0
Otros países declarantes,Noruega,Recibido,2019,59.0,17.0
Otros países declarantes,Noruega,Recibido,2020,222.0,75.0
Otros países declarantes,Noruega,Recibido,2021,213.0,75.0
Otros países declarantes,Noruega,Recibido,2022,96.0,30.0
Otros países declarantes,Noruega,Recibido,2023,84.0,24.0
Otros países declarantes,Noruega,Recibido,2024,40.0,12.0
Otros países declarantes,Noruega,Expedido,2017,100.0,37.0
Otros países declarantes,Noruega,Expedido,2018,146.0,52.0
Otros países declarantes,Noruega,Expedido,2019,339.0,113.0
Otros países declarantes,Noruega,Expedido,2020,170.0,56.0
Otros países declarantes,Noruega,Expedido,2021,115.0,35.0
Otros países declarantes,Noruega,Expedido,2022,132.0,37.0
Otros países declarantes,Noruega,Expedido,2023,84.0,22.0
Otros países declarantes,Noruega,Expedido,2024,23.0,7.0
Otros países declarantes,Reino Unido,Recibido,2017,1886.0,1045.0
Otros países declarantes,Reino Unido,Recibido,2018,2320.0,1302.0
Otros países declarantes,Reino Unido,Recibido,2019,1747.0,981.0
Otros países declarantes,Reino Unido,Recibido,2020,1336.0,735.0
Otros países declarantes,Reino Unido,Recibido,2021,979.0,568.0
Otros países declarantes,Reino Unido,Recibido,2022,1269.0,701.0
Otros países declarantes,Reino Unido,Recibido,2023,749.0,432.0
Otros países declarantes,Reino Unido,Recibido,2024,1201.0,674.0
Otros países declarantes,Reino Unido,Expedido,2017,5368.0,2696.0
Otros países declarantes,Reino Unido,Expedido,2018,6051.0,3079.0
Otros países declarantes,Reino Unido,Expedido,2019,4966.0,2536.0
Otros países declarantes,Reino Unido,Expedido,2020,4947.0,2523.0
Otros países declarantes,Reino Unido,Expedido,2021,5116.0,2662.0
Otros países declarantes,Reino Unido,Expedido,2022,4222.0,2224.0
Otros países declarantes,Reino Unido,Expedido,2023,4255.0,2230.0
Otros países declarantes,Reino Unido,Expedido,2024,4263.0,2205.0
Otros países declarantes,Suiza,Recibido,2017,399.0,313.0
Otros países declarantes,Suiza,Recibido,2018,334.0,222.0
Otros países declarantes,Suiza,Recibido,2019,266.0,200.0
Otros países declarantes,Suiza,Recibido,2020,281.0,207.0
Otros países declarantes,Suiza,Recibido,2021,389.0,286.0
Otros países declarantes,Suiza,Recibido,2022,235.0,176.0
Otros países declarantes,Suiza,Recibido,2023,192.0,147.0
Otros países declarantes,Suiza,Recibido,2024,292.0,210.0
Otros países declarantes,Suiza,Expedido,2017,910.0,650.0
Otros países declarantes,Suiza,Expedido,2018,722.0,535.0
Otros países declarantes,Suiza,Expedido,2019,1008.0,682.0
Otros países declarantes,Suiza,Expedido,2020,898.0,636.0
Otros países declarantes,Suiza,Expedido,2021,907.0,672.0
Otros países declarantes,Suiza,Expedido,2022,769.0,533.0
Otros países declarantes,Suiza,Expedido,2023,922.0,602.0
Otros países declarantes,Suiza,Expedido,2024,827.0,568.0
